Year,Player,Age,AV,School,Height,Wt,40YD,Vertical,BenchReps,Broad_Jump,3Cone,Shuttle,School,Conf,Class,G_season,Rec_Season,Rec_Yds_Season,Rec_Avg_Season,Rec_TD_Season,Career_Rec,Career_Rec_Yds,Career_Rec_Avg,Career_Rec_TD,NFL_Years,Average_AV,AAV2
2007,Jason Hill,22,10,Washington State,72,204,4.32,37,,123,7.02,4.22,Washington State,Pac-10,4,10,41,600,14.6,7,148,2704,18.3,32,6,1.666666667,2.777777778
2007,James Jones,22,54,San Jose State,73,207,4.54,34,22,119,7.06,4.2,San Jose State,WAC,4,13,70,893,12.8,10,126,1496,11.9,12,9,6,36
2007,Mike Sims-Walker,22,17,Central Florida,74,209,4.35,36.5,18,121,6.92,4.39,UCF,CUSA,4,12,90,1178,13.1,7,184,2561,13.9,17,4,4.25,18.0625
2007,Paul Williams,23,0,Fresno State,73,205,4.45,38.5,,125,7.03,4.24,Fresno State,WAC,4,7,21,229,10.9,1,72,1048,14.6,8,1,0,0
2006,Santonio Holmes,22,54,Ohio State,71,188,4.35,,,,,,Ohio State,Big Ten,4,12,53,977,18.4,11,140,2295,16.4,25,9,6,36
2006,Chad Jackson,21,2,Florida,73,213,4.32,38.5,,122,6.73,3.97,Florida,SEC,3,12,88,900,10.2,9,120,1586,13.2,16,3,0.6666666667,0.4444444444
2006,Sinorice Moss,22,4,Miami (FL),68,185,4.38,,,,,,Miami (FL),ACC,4,12,37,614,16.6,6,68,1106,16.3,9,4,1,1
2006,Greg Jennings,22,77,West. Michigan,71,197,4.42,36.5,,117,6.68,4.16,Western Michigan,MAC,4,11,98,1259,12.8,14,238,3539,14.9,39,10,7.7,59.29
2006,Travis Wilson,22,0,Oklahoma,74,214,4.47,36.5,,120,6.7,3.99,Oklahoma,Big 12,4,9,25,310,12.4,1,105,1315,12.5,17,1,0,0
2006,Derek Hagan,21,14,Arizona State,74,208,4.45,36,,124,,4.07,Arizona State,Pac-10,4,12,77,1210,15.7,8,258,3939,15.3,27,9,1.555555556,2.419753086
2006,Brandon Williams,22,0,Wisconsin,69,179,4.48,34.5,,115,6.87,4.07,Wisconsin,Big Ten,4,13,59,1095,18.6,6,202,2924,14.5,10,2,0,0
2006,Maurice Stovall,21,5,Notre Dame,76,217,4.57,35,,122,6.81,4.14,Notre Dame,Ind,4,12,69,1149,16.7,11,130,2195,16.9,18,7,0.7142857143,0.5102040816
2006,Willie Reid,23,1,Florida State,70,188,4.34,37.5,,117,7.06,4.26,Florida State,ACC,4,11,50,634,12.7,1,91,1046,11.5,3,2,0.5,0.25
2005,Braylon Edwards,22,47,Michigan,75,211,4.45,,,,,,Michigan,Big Ten,4,12,97,1330,13.7,15,252,3541,14.1,39,8,5.875,34.515625
2005,Troy Williamson,21,8,South Carolina,73,203,4.32,,,,6.99,,South Carolina,SEC,3,11,43,835,19.4,7,91,1754,19.3,13,5,1.6,2.56
